date,y
2022-07-01,1017.95483
2022-07-02,1017.95483
2022-07-03,1017.95483
2022-07-04,974.8633
2022-07-05,974.8633
2022-07-06,948.29974
2022-07-07,932.41724
2022-07-08,974.8633
2022-07-09,1017.95483
2022-07-10,1494.9624
2022-07-11,894.85474
2022-07-12,971.0467
2022-07-13,948.29974
2022-07-14,948.29974
2022-07-15,856.4177
2022-07-16,1017.95483
2022-07-17,1256.0962
2022-07-18,1017.95483
2022-07-19,1017.95483
2022-07-20,948.29974
2022-07-21,1274.9092
2022-07-22,1017.95483
2022-07-23,1017.95483
2022-07-24,1494.9624
2022-07-25,1157.2285
2022-07-26,1017.95483
2022-07-27,1017.95483
2022-07-28,974.8633
2022-07-29,1157.2285
2022-07-30,1157.2285
2022-07-31,1494.9624
2022-08-01,1256.0962
2022-08-02,1017.95483
2022-08-03,1157.2285
2022-08-04,1017.95483
2022-08-05,1157.2285
2022-08-06,1907.5194
2022-08-07,1907.5194
2022-08-08,1256.0962
2022-08-09,1494.9624
2022-08-10,1256.0962
2022-08-11,1017.95483
2022-08-12,1256.0962
2022-08-13,1494.9624
2022-08-14,1907.5194
2022-08-15,1907.5194
2022-08-16,1494.9624
2022-08-17,1157.2285
2022-08-18,1494.9624
2022-08-19,1157.2285
2022-08-20,1157.2285
2022-08-21,1494.9624
2022-08-22,1494.9624
2022-08-23,1017.95483
2022-08-24,1017.95483
2022-08-25,974.8633
2022-08-26,1017.95483
2022-08-27,1256.0962
2022-08-28,1494.9624
2022-08-29,1017.95483
2022-08-30,1017.95483
2022-08-31,1017.95483
2022-09-01,932.41724
2022-09-02,948.29974
2022-09-03,1017.95483
2022-09-04,1494.9624
2022-09-05,1157.2285
2022-09-06,1907.5194
2022-09-07,1017.95483
2022-09-08,1017.95483
2022-09-09,1157.2285
2022-09-10,1907.5194
2022-09-11,1907.5194
2022-09-12,1907.5194
2022-09-13,974.8633
2022-09-14,971.0467
2022-09-15,948.29974
2022-09-16,948.29974
2022-09-17,1017.95483
2022-09-18,1157.2285
2022-09-19,1017.95483
2022-09-20,1017.95483
2022-09-21,932.41724
2022-09-22,894.85474
2022-09-23,971.0467
2022-09-24,948.29974
2022-09-25,1017.95483
2022-09-26,894.85474
2022-09-27,894.85474
2022-09-28,971.0467
2022-09-29,932.41724
2022-09-30,971.0467
2022-10-01,974.8633
2022-10-02,1017.95483
2022-10-03,1017.95483
2022-10-04,894.85474
2022-10-05,869.46246
2022-10-06,847.62506
2022-10-07,847.62506
2022-10-08,894.85474
2022-10-09,1017.95483
2022-10-10,1017.95483
2022-10-11,932.41724
2022-10-12,912.0584
2022-10-13,847.62506
2022-10-14,847.62506
2022-10-15,894.85474
